  Nz=Nparall      Px    
 -3.0641E+01  4.7051E-05
 -3.0629E+01  4.8622E-05
 -3.0618E+01  4.9469E-05
 -3.0606E+01  4.9654E-05
 -3.0594E+01  4.9290E-05
 -3.0582E+01  4.8532E-05
 -3.0570E+01  4.7554E-05
 -3.0558E+01  4.6532E-05
 -3.0546E+01  4.5631E-05
 -3.0534E+01  4.4985E-05
 -3.0522E+01  4.4691E-05
 -3.0510E+01  4.4807E-05
 -3.0498E+01  4.5348E-05
 -3.0487E+01  4.6298E-05
 -3.0475E+01  4.7615E-05
 -3.0463E+01  4.9252E-05
 -3.0451E+01  5.1162E-05
 -3.0439E+01  5.3315E-05
 -3.0427E+01  5.5707E-05
 -3.0415E+01  5.8363E-05
 -3.0403E+01  6.1335E-05
 -3.0391E+01  6.4694E-05
 -3.0379E+01  6.8521E-05
 -3.0367E+01  7.2887E-05
 -3.0356E+01  7.7835E-05
 -3.0344E+01  8.3360E-05
 -3.0332E+01  8.9394E-05
 -3.0320E+01  9.5797E-05
 -3.0308E+01  1.0235E-04
 -3.0296E+01  1.0875E-04
 -3.0284E+01  1.1466E-04
 -3.0272E+01  1.1969E-04
 -3.0260E+01  1.2343E-04
 -3.0248E+01  1.2553E-04
 -3.0236E+01  1.2567E-04
 -3.0225E+01  1.2366E-04
 -3.0213E+01  1.1942E-04
 -3.0201E+01  1.1303E-04
 -3.0189E+01  1.0472E-04
 -3.0177E+01  9.4879E-05
 -3.0165E+01  8.4028E-05
 -3.0153E+01  7.2795E-05
 -3.0141E+01  6.1859E-05
 -3.0129E+01  5.1905E-05
 -3.0117E+01  4.3562E-05
 -3.0105E+01  3.7348E-05
 -3.0094E+01  3.3621E-05
 -3.0082E+01  3.2541E-05
 -3.0070E+01  3.4048E-05
 -3.0058E+01  3.7863E-05
 -3.0046E+01  4.3503E-05
 -3.0034E+01  5.0321E-05
 -3.0022E+01  5.7561E-05
 -3.0010E+01  6.4420E-05
 -2.9998E+01  7.0128E-05
 -2.9986E+01  7.4020E-05
 -2.9974E+01  7.5599E-05
 -2.9963E+01  7.4600E-05
 -2.9951E+01  7.1013E-05
 -2.9939E+01  6.5106E-05
 -2.9927E+01  5.7404E-05
 -2.9915E+01  4.8653E-05
 -2.9903E+01  3.9755E-05
 -2.9891E+01  3.1693E-05
 -2.9879E+01  2.5435E-05
 -2.9867E+01  2.1845E-05
 -2.9855E+01  2.1596E-05
 -2.9843E+01  2.5100E-05
 -2.9832E+01  3.2464E-05
 -2.9820E+01  4.3471E-05
 -2.9808E+01  5.7598E-05
 -2.9796E+01  7.4062E-05
 -2.9784E+01  9.1901E-05
 -2.9772E+01  1.1007E-04
 -2.9760E+01  1.2756E-04
 -2.9748E+01  1.4353E-04
 -2.9736E+01  1.5739E-04
 -2.9724E+01  1.6895E-04
 -2.9712E+01  1.7843E-04
 -2.9701E+01  1.8653E-04
 -2.9689E+01  1.9441E-04
 -2.9677E+01  2.0360E-04
 -2.9665E+01  2.1593E-04
 -2.9653E+01  2.3338E-04
 -2.9641E+01  2.5790E-04
 -2.9629E+01  2.9123E-04
 -2.9617E+01  3.3472E-04
 -2.9605E+01  3.8917E-04
 -2.9593E+01  4.5468E-04
 -2.9581E+01  5.3057E-04
 -2.9570E+01  6.1536E-04
 -2.9558E+01  7.0675E-04
 -2.9546E+01  8.0174E-04
 -2.9534E+01  8.9678E-04
 -2.9522E+01  9.8794E-04
 -2.9510E+01  1.0712E-03
 -2.9498E+01  1.1426E-03
 -2.9486E+01  1.1986E-03
 -2.9474E+01  1.2364E-03
 -2.9462E+01  1.2540E-03
 -2.9450E+01  1.2503E-03
 -2.9439E+01  1.2255E-03
 -2.9427E+01  1.1807E-03
 -2.9415E+01  1.1181E-03
 -2.9403E+01  1.0410E-03
 -2.9391E+01  9.5317E-04
 -2.9379E+01  8.5886E-04
 -2.9367E+01  7.6251E-04
 -2.9355E+01  6.6845E-04
 -2.9343E+01  5.8059E-04
 -2.9331E+01  5.0220E-04
 -2.9319E+01  4.3571E-04
 -2.9308E+01  3.8262E-04
 -2.9296E+01  3.4337E-04
 -2.9284E+01  3.1747E-04
