  Nz=Nparall      Px    
 -3.1511E+01  6.0815E-04
 -3.1499E+01  5.6873E-04
 -3.1487E+01  4.9539E-04
 -3.1475E+01  3.9821E-04
 -3.1463E+01  2.9321E-04
 -3.1451E+01  2.0142E-04
 -3.1439E+01  1.4638E-04
 -3.1427E+01  1.5023E-04
 -3.1415E+01  2.2868E-04
 -3.1404E+01  3.8615E-04
 -3.1392E+01  6.1242E-04
 -3.1380E+01  8.8214E-04
 -3.1368E+01  1.1580E-03
 -3.1356E+01  1.3974E-03
 -3.1344E+01  1.5605E-03
 -3.1332E+01  1.6192E-03
 -3.1320E+01  1.5633E-03
 -3.1308E+01  1.4026E-03
 -3.1296E+01  1.1648E-03
 -3.1284E+01  8.8946E-04
 -3.1273E+01  6.1932E-04
 -3.1261E+01  3.9195E-04
 -3.1249E+01  2.3313E-04
 -3.1237E+01  1.5361E-04
 -3.1225E+01  1.4940E-04
 -3.1213E+01  2.0501E-04
 -3.1201E+01  2.9825E-04
 -3.1189E+01  4.0522E-04
 -3.1177E+01  5.0442E-04
 -3.1165E+01  5.7936E-04
 -3.1153E+01  6.1966E-04
 -3.1142E+01  6.2118E-04
 -3.1130E+01  5.8537E-04
 -3.1118E+01  5.1839E-04
 -3.1106E+01  4.2995E-04
 -3.1094E+01  3.3181E-04
 -3.1082E+01  2.3608E-04
 -3.1070E+01  1.5331E-04
 -3.1058E+01  9.0713E-05
 -3.1046E+01  5.1082E-05
 -3.1034E+01  3.2588E-05
 -3.1022E+01  2.9744E-05
 -3.1011E+01  3.5189E-05
 -3.0999E+01  4.1820E-05
 -3.0987E+01  4.4611E-05
 -3.0975E+01  4.1584E-05
 -3.0963E+01  3.3714E-05
 -3.0951E+01  2.3907E-05
 -3.0939E+01  1.5516E-05
 -3.0927E+01  1.0972E-05
 -3.0915E+01  1.0990E-05
 -3.0903E+01  1.4561E-05
 -3.0891E+01  1.9599E-05
 -3.0880E+01  2.3901E-05
 -3.0868E+01  2.5984E-05
 -3.0856E+01  2.5503E-05
 -3.0844E+01  2.3137E-05
 -3.0832E+01  2.0082E-05
 -3.0820E+01  1.7446E-05
 -3.0808E+01  1.5786E-05
 -3.0796E+01  1.5002E-05
 -3.0784E+01  1.4539E-05
 -3.0772E+01  1.3776E-05
 -3.0760E+01  1.2377E-05
 -3.0749E+01  1.0453E-05
 -3.0737E+01  8.4747E-06
 -3.0725E+01  7.0079E-06
 -3.0713E+01  6.4279E-06
 -3.0701E+01  6.7435E-06
 -3.0689E+01  7.6109E-06
 -3.0677E+01  8.5096E-06
 -3.0665E+01  8.9841E-06
 -3.0653E+01  8.8292E-06
 -3.0641E+01  8.1410E-06
 -3.0629E+01  7.2243E-06
 -3.0618E+01  6.4195E-06
 -3.0606E+01  5.9400E-06
 -3.0594E+01  5.7961E-06
 -3.0582E+01  5.8309E-06
 -3.0570E+01  5.8322E-06
 -3.0558E+01  5.6544E-06
 -3.0546E+01  5.2842E-06
 -3.0534E+01  4.8235E-06
 -3.0522E+01  4.4090E-06
 -3.0510E+01  4.1209E-06
 -3.0498E+01  3.9339E-06
 -3.0487E+01  3.7400E-06
 -3.0475E+01  3.4259E-06
 -3.0463E+01  2.9621E-06
 -3.0451E+01  2.4496E-06
 -3.0439E+01  2.0966E-06
 -3.0427E+01  2.1306E-06
 -3.0415E+01  2.6904E-06
 -3.0403E+01  3.7487E-06
 -3.0391E+01  5.1045E-06
 -3.0379E+01  6.4493E-06
 -3.0367E+01  7.4763E-06
 -3.0356E+01  7.9823E-06
 -3.0344E+01  7.9213E-06
 -3.0332E+01  7.3908E-06
 -3.0320E+01  6.5672E-06
 -3.0308E+01  5.6287E-06
 -3.0296E+01  4.7006E-06
 -3.0284E+01  3.8462E-06
 -3.0272E+01  3.0937E-06
 -3.0260E+01  2.4746E-06
 -3.0248E+01  2.0441E-06
 -3.0236E+01  1.8678E-06
 -3.0225E+01  1.9839E-06
 -3.0213E+01  2.3641E-06
 -3.0201E+01  2.9014E-06
 -3.0189E+01  3.4364E-06
 -3.0177E+01  3.8126E-06
 -3.0165E+01  3.9349E-06
 -3.0153E+01  3.7996E-06
 -3.0141E+01  3.4827E-06
 -3.0129E+01  3.0932E-06
 -3.0117E+01  2.7186E-06
 -3.0105E+01  2.3936E-06
 -3.0094E+01  2.1086E-06
 -3.0082E+01  1.8515E-06
 -3.0070E+01  1.6533E-06
 -3.0058E+01  1.6060E-06
 -3.0046E+01  1.8335E-06
 -3.0034E+01  2.4253E-06
 -3.0022E+01  3.3657E-06
 -3.0010E+01  4.5025E-06
 -2.9998E+01  5.5782E-06
 -2.9986E+01  6.3196E-06
 -2.9974E+01  6.5463E-06
 -2.9963E+01  6.2453E-06
 -2.9951E+01  5.5726E-06
 -2.9939E+01  4.7784E-06
 -2.9927E+01  4.0935E-06
 -2.9915E+01  3.6370E-06
 -2.9903E+01  3.3966E-06
 -2.9891E+01  3.2939E-06
 -2.9879E+01  3.2981E-06
 -2.9867E+01  3.5178E-06
 -2.9855E+01  4.2041E-06
 -2.9843E+01  5.6413E-06
 -2.9832E+01  7.9639E-06
 -2.9820E+01  1.0993E-05
 -2.9808E+01  1.4189E-05
 -2.9796E+01  1.6775E-05
 -2.9784E+01  1.8011E-05
 -2.9772E+01  1.7498E-05
 -2.9760E+01  1.5382E-05
 -2.9748E+01  1.2340E-05
 -2.9736E+01  9.3283E-06
 -2.9724E+01  7.1974E-06
 -2.9712E+01  6.3373E-06
 -2.9701E+01  6.5390E-06
 -2.9689E+01  7.1489E-06
 -2.9677E+01  7.4628E-06
 -2.9665E+01  7.1688E-06
 -2.9653E+01  6.6034E-06
 -2.9641E+01  6.6526E-06
 -2.9629E+01  8.2939E-06
 -2.9617E+01  1.1970E-05
 -2.9605E+01  1.7114E-05
 -2.9593E+01  2.2124E-05
 -2.9581E+01  2.4943E-05
 -2.9570E+01  2.4103E-05
 -2.9558E+01  1.9871E-05
 -2.9546E+01  1.4996E-05
 -2.9534E+01  1.4618E-05
 -2.9522E+01  2.5215E-05
 -2.9510E+01  5.2766E-05
 -2.9498E+01  1.0069E-04
 -2.9486E+01  1.6820E-04
 -2.9474E+01  2.4971E-04
 -2.9462E+01  3.3546E-04
 -2.9450E+01  4.1330E-04
 -2.9439E+01  4.7113E-04
 -2.9427E+01  4.9932E-04
 -2.9415E+01  4.9264E-04
 -2.9403E+01  4.5133E-04
 -2.9391E+01  3.8122E-04
 -2.9379E+01  2.9321E-04
 -2.9367E+01  2.0219E-04
 -2.9355E+01  1.2550E-04
 -2.9343E+01  8.1010E-05
 -2.9331E+01  8.4555E-05
 -2.9319E+01  1.4702E-04
 -2.9308E+01  2.7132E-04
 -2.9296E+01  4.5002E-04
 -2.9284E+01  6.6460E-04
 -2.9272E+01  8.8698E-04
 -2.9260E+01  1.0837E-03
 -2.9248E+01  1.2220E-03
 -2.9236E+01  1.2771E-03
 -2.9224E+01  1.2374E-03
 -2.9212E+01  1.1087E-03
 -2.9200E+01  9.1261E-04
 -2.9188E+01  6.8244E-04
 -2.9177E+01  4.5597E-04
 -2.9165E+01  2.6717E-04
 -2.9153E+01  1.3950E-04
 -2.9141E+01  8.2092E-05
 -2.9129E+01  8.9759E-05
 -2.9117E+01  1.4633E-04
 -2.9105E+01  2.2999E-04
 -2.9093E+01  3.1886E-04
 -2.9081E+01  3.9532E-04
 -2.9069E+01  4.4816E-04
 -2.9058E+01  4.7261E-04
 -2.9046E+01  4.6893E-04
 -2.9034E+01  4.4054E-04
 -2.9022E+01  3.9249E-04
 -2.9010E+01  3.3073E-04
 -2.8998E+01  2.6185E-04
 -2.8986E+01  1.9300E-04
 -2.8974E+01  1.3138E-04
 -2.8962E+01  8.3183E-05
 -2.8950E+01  5.2232E-05
 -2.8938E+01  3.8889E-05
 -2.8927E+01  3.9770E-05
 -2.8915E+01  4.8616E-05
 -2.8903E+01  5.8160E-05
 -2.8891E+01  6.2373E-05
 -2.8879E+01  5.8301E-05
 -2.8867E+01  4.6782E-05
 -2.8855E+01  3.1795E-05
 -2.8843E+01  1.8702E-05
 -2.8831E+01  1.2091E-05
 -2.8819E+01  1.4050E-05
 -2.8807E+01  2.3524E-05
 -2.8796E+01  3.6911E-05
 -2.8784E+01  4.9592E-05
 -2.8772E+01  5.7708E-05
 -2.8760E+01  5.9451E-05
