      19.857       -1.740    0.0000043
      19.857       -1.689    0.0000064
      19.857       -1.639    0.0000089
      19.857       -1.588    0.0000124
      19.857       -1.538    0.0000163
      19.857       -1.487    0.0000212
      19.857       -1.437    0.0000267
      19.857       -1.387    0.0000333
      19.857       -1.336    0.0000405
      19.857       -1.286    0.0000486
      19.857       -1.235    0.0000580
      19.857       -1.185    0.0000679
      19.857       -1.135    0.0000790
      19.857       -1.084    0.0000908
      19.857       -1.034    0.0001032
      19.857       -0.983    0.0001168
      19.857       -0.933    0.0001307
      19.857       -0.882    0.0001452
      19.857       -0.832    0.0001601
      19.857       -0.782    0.0001752
      19.857       -0.731    0.0001906
      19.857       -0.681    0.0002059
      19.857       -0.630    0.0002207
      19.857       -0.580    0.0002357
      19.857       -0.529    0.0002500
      19.857       -0.479    0.0002632
      19.857       -0.429    0.0002762
      19.857       -0.378    0.0002870
      19.857       -0.328    0.0002982
      19.857       -0.277    0.0003076
      19.857       -0.227    0.0003105
      19.857       -0.176    0.0003183
      19.857       -0.126    0.0003219
      19.857       -0.076    0.0003269
      19.857       -0.025    0.0003298
      19.857        0.025    0.0003285
      19.857        0.076    0.0003282
      19.857        0.126    0.0003229
      19.857        0.176    0.0003196
      19.857        0.227    0.0003143
      19.857        0.277    0.0003044
      19.857        0.328    0.0002965
      19.857        0.378    0.0002835
      19.857        0.429    0.0002734
      19.857        0.479    0.0002581
      19.857        0.529    0.0002462
      19.857        0.580    0.0002333
      19.857        0.630    0.0002165
      19.857        0.681    0.0002028
      19.857        0.731    0.0001855
      19.857        0.782    0.0001717
      19.857        0.832    0.0001576
      19.857        0.882    0.0001413
      19.857        0.933    0.0001280
      19.857        0.983    0.0001127
      19.857        1.034    0.0001006
      19.857        1.084    0.0000888
      19.857        1.135    0.0000762
      19.857        1.185    0.0000661
      19.857        1.235    0.0000554
      19.857        1.286    0.0000470
      19.857        1.336    0.0000393
      19.857        1.387    0.0000316
      19.857        1.437    0.0000257
      19.857        1.487    0.0000199
      19.857        1.538    0.0000156
      19.857        1.588    0.0000119
      19.857        1.639    0.0000085
      19.857        1.689    0.0000060
      19.857        1.740    0.0000048
      19.857        1.790    0.0000032
      19.857        1.840    0.0000019
      19.857        1.891    0.0000010
      19.857        1.941    0.0000004
      19.857        1.992    0.0000001
      19.857        2.042    0.0000000
      19.857        2.092    0.0000000
      19.857        2.143    0.0000002
      19.857        2.193    0.0000004
      19.857        2.244    0.0000006
      19.857        2.294    0.0000009
      19.857        2.345    0.0000011
      19.857        2.395    0.0000013
      19.857        2.445    0.0000015
      19.857        2.496    0.0000016
      19.857        2.546    0.0000016
      19.857        2.597    0.0000016
      19.857        2.647    0.0000016
      19.857        2.697    0.0000015
      19.857        2.748    0.0000014
      19.857        2.798    0.0000013
      19.857        2.849    0.0000011
      19.857        2.899    0.0000010
      19.857        2.950    0.0000008
      19.857        3.000    0.0000006
      19.809       -3.000    0.0000000
      19.809       -2.950    0.0000000
      19.809       -2.899    0.0000000
      19.809       -2.849    0.0000000
      19.809       -2.798    0.0000000
      19.809       -2.748    0.0000000
      19.809       -2.697    0.0000000
      19.809       -2.647    0.0000000
      19.809       -2.597    0.0000000
      19.809       -2.546    0.0000000
      19.809       -2.496    0.0000000
      19.809       -2.445    0.0000000
      19.809       -2.395    0.0000000
      19.809       -2.345    0.0000000
      19.809       -2.294    0.0000000
      19.809       -2.244    0.0000000
      19.809       -2.193    0.0000000
      19.809       -2.143    0.0000000
      19.809       -2.092    0.0000000
      19.809       -2.042    0.0000000
      19.809       -1.992    0.0000001
      19.809       -1.941    0.0000004
      19.809       -1.891    0.0000010
      19.809       -1.840    0.0000019
      19.809       -1.790    0.0000031
      19.809       -1.740    0.0000049
      19.809       -1.689    0.0000070
      19.809       -1.639    0.0000101
      19.809       -1.588    0.0000134
      19.809       -1.538    0.0000174
      19.809       -1.487    0.0000228
      19.809       -1.437    0.0000254
      19.809       -1.387    0.0000322
      19.809       -1.336    0.0000391
      19.809       -1.286    0.0000466
      19.809       -1.235    0.0000564
      19.809       -1.185    0.0000656
      19.809       -1.135    0.0000775
      19.809       -1.084    0.0000884
      19.809       -1.034    0.0000999
      19.809       -0.983    0.0001145
      19.809       -0.933    0.0001273
      19.809       -0.882    0.0001433
      19.809       -0.832    0.0001570
      19.809       -0.782    0.0001737
      19.809       -0.731    0.0001879
